Source,Target,X_Coord_Source,Y_Coord_Source,Z_Coord_Source,X_Coord_Target,Y_Coord_Target,Z_Coord_Target,DistanceKM,BookID,LocationSentence
Le Chambon-sur-Lignon,Plateau Vivarais,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,31
Plateau Vivarais,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,31
Le Chambon-sur-Lignon,Plateau Vivarais,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,31
Plateau Vivarais,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,31
Le Chambon-sur-Lignon,Plateau Vivarais,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,31
Plateau Vivarais,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,31
Le Chambon-sur-Lignon,Plateau Vivarais,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,31
Plateau Vivarais,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,31
Le Chambon-sur-Lignon,Plateau Vivarais,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,31
Plateau Vivarais,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,31
Le Chambon-sur-Lignon,Plateau Vivarais,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,31
Plateau Vivarais,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,31
Le Chambon-sur-Lignon,Plateau Vivarais,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,31
Plateau Vivarais,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,31
Le Chambon-sur-Lignon,Plateau Vivarais,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,31
Plateau Vivarais,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,31
Le Chambon-sur-Lignon,Plateau Vivarais,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,31
Plateau Vivarais,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,31
Le Chambon-sur-Lignon,Plateau Vivarais,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,31
Plateau Vivarais,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,31
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,37
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,37
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,37
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,37
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,37
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,37
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,37
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,37
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,37
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,37
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,68
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,68
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,68
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,68
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,68
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,68
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,68
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,68
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,68
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,68
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,68
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,68
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,68
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,68
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,68
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,72
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,72
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,72
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,72
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,72
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,72
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,72
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,72
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,72
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,72
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,72
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,72
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,72
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,72
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,72
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,72
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,72
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,72
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,72
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,72
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,72
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,75
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,75
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,75
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,75
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,75
Le Chambon-sur-Lignon,L'Abric,4.302941,45.06081,961,4.311144,45.06056,997,0.644891539,Bohny_50.030.0031_Plateau_Rescuer,75
L'Abric,L'Abric,4.311144,45.06056,997,4.311144,45.06056,997,0,Bohny_50.030.0031_Plateau_Rescuer,81
L'Abric,L'Abric,4.311144,45.06056,997,4.311144,45.06056,997,0,Bohny_50.030.0031_Plateau_Rescuer,81
L'Abric,L'Abric,4.311144,45.06056,997,4.311144,45.06056,997,0,Bohny_50.030.0031_Plateau_Rescuer,81
L'Abric,L'Abric,4.311144,45.06056,997,4.311144,45.06056,997,0,Bohny_50.030.0031_Plateau_Rescuer,81
L'Abric,L'Abric,4.311144,45.06056,997,4.311144,45.06056,997,0,Bohny_50.030.0031_Plateau_Rescuer,81
L'Abric,La Guespy,4.311144,45.06056,997,4.312919,45.062374,1006,0.245197847,Bohny_50.030.0031_Plateau_Rescuer,81
La Guespy,L'Abric,4.312919,45.062374,1006,4.311144,45.06056,997,0.245197847,Bohny_50.030.0031_Plateau_Rescuer,85
L'Abric,La Guespy,4.311144,45.06056,997,4.312919,45.062374,1006,0.245197847,Bohny_50.030.0031_Plateau_Rescuer,85
La Guespy,L'Abric,4.312919,45.062374,1006,4.311144,45.06056,997,0.245197847,Bohny_50.030.0031_Plateau_Rescuer,85
L'Abric,La Guespy,4.311144,45.06056,997,4.312919,45.062374,1006,0.245197847,Bohny_50.030.0031_Plateau_Rescuer,85
La Guespy,L'Abric,4.312919,45.062374,1006,4.311144,45.06056,997,0.245197847,Bohny_50.030.0031_Plateau_Rescuer,85
